name;type;description;stars;website;phone;city;department;region;latitude;longitude
JOST;hotel;;3;https://www.jostlille.com/;+33 3 39 49 00 50;Lille;Nord;Hauts-de-France;50.6288704819503;3.05193254380686
L'Esplanade;guest_house;;;;;Lille;Nord;Hauts-de-France;50.6423099416797;3.05370305321421
Why Hotel Best Western Premier;hotel;;4;;;Lille;Nord;Hauts-de-France;50.6342783182398;3.06136419653382
Hôtel Alliance Couvent des Minimes;hotel;;4;;;Lille;Nord;Hauts-de-France;50.6379995479727;3.05494634091193
Résidence Lille-Faidherbe;apartment;;;https://www.edgarsuites.com/residence/lille-faidherbe/;;Lille;Nord;Hauts-de-France;50.6357734821279;3.06979018851803
Hôtel La Valiz;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6370052866183;3.06958072475771
B&B Hôtel;hotel;;;https://www.hotel-bb.com/fr/hotel/lille-lillenium-eurasante;;Lille;Nord;Hauts-de-France;50.6157030008363;3.04447720732087
Hôtel Mercure Lille Centre Grand-Place;hotel;;3;https://all.accor.com/hotel/0802/index.fr.shtml;+33 3 20 14 71 47;Lille;Nord;Hauts-de-France;50.6381952905667;3.06560777805574
Mama Shelter Lille;hotel;;3;https://fr.mamashelter.com/lille/;+33 3 59 82 72 72;Lille;Nord;Hauts-de-France;50.6386803261485;3.07159506372838
Cosy's Apart'Hotel Lille Vauban;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6321785676758;3.04674196644763
Hôtel Rosa;hotel;;3;https://www.rosa-hotel.com/;;Lille;Nord;Hauts-de-France;50.6369362197361;3.0693915452031
Hôtel Kanaï;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6349994971889;3.06401128537505
Hôtel Mister Bed Lomme;hotel;;;;;Lille;Nord;Hauts-de-France;50.6475302747952;2.9764852731424
Apparthotel Séjours & Affaires Lille Europe;hotel;;2;https://www.sejours-affaires.com/residence-hoteliere-aparthotel-lille-169.html;;Lille;Nord;Hauts-de-France;50.6365616324833;3.07497246779312
Hermitage Gantois;hotel;;5;https://www.hotelhermitagegantois.com/;+33 3 20 85 30 30;Lille;Nord;Hauts-de-France;50.6312101225831;3.06824867270538
Hôtel Campanile Lille Sud - CHR;hotel;;;http://www.campanile-lille-sud-chr.fr/fr/rooms.aspx;+33320533055;Lille;Nord;Hauts-de-France;50.6151995292704;3.03705068258197
Hôtel de la Treille;hotel;;3;https://www.hoteldelatreille.com/;+33320554546;Lille;Nord;Hauts-de-France;50.6404600242211;3.06400516966786
Adagio;hotel;;;;;Lille;Nord;Hauts-de-France;50.6355488811966;3.06050427639445
Le Champlin;guest_house;;;https://www.lamaisonduchamplain.fr/;;Lille;Nord;Hauts-de-France;50.6297875459765;3.06148732669143
Twenty Campus Lille Bayard - Résidence Étudiante;hotel;;;https://www.twenty-campus.com/fr/residences/tc-lille-bayard/;;Lille;Nord;Hauts-de-France;50.6183320827283;3.05381822056381
L'Arbre Voyageur;hotel;;4;https://www.hotelarbrevoyageur.com/;+33 3 20 20 62 62;Lille;Nord;Hauts-de-France;50.6397259005347;3.0674022779379
Citotel Nord Hotel;hotel;;0;;;Lille;Nord;Hauts-de-France;50.6120642631732;3.061369980047
Hôtel Holiday Inn Express;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6307046938218;3.05807036004373
Emazen;guest_house;;;;;Lille;Nord;Hauts-de-France;50.6258967730732;3.09047997325853
Calm Apart'Hotel;hotel;;;;;Lille;Nord;Hauts-de-France;50.6373764372908;3.06929406366919
Hôtel Ibis Lille Lomme;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6464241988524;3.00936186341696
Hôtel Ibis Lille Centre Grand-Place;hotel;;3;https://all.accor.com/hotel/0902/index.fr.shtml;+33 3 20 06 21 95;Lille;Nord;Hauts-de-France;50.6382942556883;3.06301417417353
Cité-Vauban;hotel;;2;;;Lille;Nord;Hauts-de-France;50.6329384771868;3.0488582928528
BOA Hotel;hotel;;4;https://www.boa-hotel.fr/;+33 3 20 06 06 93;Lille;Nord;Hauts-de-France;50.6373748447292;3.06835604488504
Hôtel Première Classe Lomme;hotel;;;;;Lille;Nord;Hauts-de-France;50.6535215735437;2.9825996413731
Ambassadeur;hotel;;;;;Lille;Nord;Hauts-de-France;50.6354318357546;3.07049141853753
Le Clarance Hôtel;hotel;;5;https://www.clarancehotel.com/;+33 3 59 36 35 59;Lille;Nord;Hauts-de-France;50.6389301906821;3.05694047949595
VIlla Gounod;guest_house;;;;;Lille;Nord;Hauts-de-France;50.6421656891261;3.08881132520872
Oceania Lille Les Augustins;hotel;;;https://www.oceaniahotels.com;;Lille;Nord;Hauts-de-France;50.6347059629397;3.06910446501939
Auberge de Jeunesse de Lille Stéphane Hessel;hostel;;;https://www.hifrance.org/auberge-de-jeunesse/lille--stephane-hessel.html;+33 3 20 57 08 94;Lille;Nord;Hauts-de-France;50.6242860725544;3.08109339902041
Villa Aramis;guest_house;;;;;Lille;Nord;Hauts-de-France;50.6404693595619;3.09355388984332
Les Nids;hotel;;;https://www.lecerisier.com/fr/les-nids/;;Lille;Nord;Hauts-de-France;50.6421263607456;3.06440823962634
Ibis Centre Grand Palais;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6330261064298;3.07451859571571
Hôtel Mercure Lille-Centre Vieux-Lille;hotel;;3;https://all.accor.com/hotel/9735/index.fr.shtml;;Lille;Nord;Hauts-de-France;50.6417518745664;3.06648336007802
The People Lille;hostel;;;;;Lille;Nord;Hauts-de-France;50.6456084655439;3.05573747893032
Hilton Lille;hotel;;4;https://www.hilton.com/en/hotels/lillehi-hilton-lille/;+33 3 20 42 46 46;Lille;Nord;Hauts-de-France;50.640347254303;3.07544756214756
Novotel Lille Centre Gares;hotel;;4;https://all.accor.com/hotel/3165/index.fr.shtml;+33 3 28 38 67 00;Lille;Nord;Hauts-de-France;50.6344826690392;3.07353027753308
Citadines Apart'Hotel;hotel;;3;;;Lille;Nord;Hauts-de-France;50.637197483658;3.07240718632687
Le Grand Hôtel;hotel;;2;;;Lille;Nord;Hauts-de-France;50.636927921652;3.06799914344791
Hôtel Eklo;hotel;;;https://www.eklohotels.com/fr/lille;+33 3 74 09 00 06;Lille;Nord;Hauts-de-France;50.6201675372186;3.08387373939922
Hôtel Le Napoléon;hotel;;2;;;Lille;Nord;Hauts-de-France;50.6370536501996;3.06968583382351
Hôtel Lille Europe;hotel;;3;https://www.hotel-lille-europe.com;;Lille;Nord;Hauts-de-France;50.6378388668889;3.07254062622539
Hôtel Ibis Styles Lille Centre Grand Place;hotel;;3;https://accorhotels.com;;Lille;Nord;Hauts-de-France;50.6374697278731;3.06682383298494
Comfort;hotel;;;;;Lille;Nord;Hauts-de-France;50.6473434421735;2.97591974613528
Le Coq Hardi;hotel;;1;;;Lille;Nord;Hauts-de-France;50.6358281321366;3.06969103060348
Hôtel du Moulin d'Or;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6352153311956;3.07003913104228
Hôtel de la Paix;hotel;;3;https://www.hotel-la-paix.com/;+33 3 20 54 63 93;Lille;Nord;Hauts-de-France;50.6360839587916;3.06555206071371
Hôtel Kyriad Lille Gare - Grand Palais;hotel;;3;https://lille-gare-grand-palais.kyriad.com/fr-fr/;;Lille;Nord;Hauts-de-France;50.6355822909165;3.08294214896856
Hôtel de Londres;hotel;;2;;;Lille;Nord;Hauts-de-France;50.6362441259911;3.06918585329922
Ibis Styles;hotel;;3;https://all.accor.com/hotel/1384/index.fr.shtml;+33 3 20 30 00 54;Lille;Nord;Hauts-de-France;50.6324561763089;3.06792479596677
Campanile;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6536985081711;2.983547995425
Hôtel Ibis Lille Centre Gares;hotel;;3;;;Lille;Nord;Hauts-de-France;50.6346890314953;3.07119432493766
Hôtel Van Zeller;hotel;;;;;Lille;Nord;Hauts-de-France;50.642675831304;3.05947786717822
Appart City Lille Grand Palais;hotel;;3;https://www.appartcity.com/apparthotel-lille-grand-palais/_R_12_31_/accueil-residence.htm;+33 3 28 16 82 00;Lille;Nord;Hauts-de-France;50.629149683145;3.08129242278596
